STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,GENDER,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,OVER VALID VOTES + NOTA,OVER TOTAL ELECTORS,TOTAL ELECTORS
Tamil Nadu,13,KOLATHUR,3 P. Santhana Krishnan,MALE,51,GENERAL,ADMK,Two leaves,18215,215,18430,10.01,8.7,211833
Tamil Nadu,13,KOLATHUR,4 Soundara Pandian Luder Seth,MALE,53,GENERAL,NTK,Farmer Carrying Plough,5012,34,5046,2.74,2.38,211833
Tamil Nadu,13,KOLATHUR,6 S.y. Syed Yusuf,MALE,32,GENERAL,RPPRINAT,Ganna kisan,476,8,484,0.26,0.23,211833
Tamil Nadu,13,KOLATHUR,7 Subashini,FEMALE,37,SC,BSP,Elephant,226,10,236,0.13,0.11,211833
Tamil Nadu,13,KOLATHUR,8 Aathithya,MALE,48,GENERAL,SAP,Bangles,180,1,181,0.1,0.09,211833
Tamil Nadu,13,KOLATHUR,9 R. Raj Guru,MALE,45,SC,IND,Pen nib with seven rays,152,1,153,0.08,0.07,211833
Tamil Nadu,13,KOLATHUR,10 R. Senthil Kumar,MALE,45,GENERAL,IND,Diamond,123,2,125,0.07,0.06,211833
Tamil Nadu,13,KOLATHUR,11 Selvi Steffi. V. M,FEMALE,26,GENERAL,IND,Boat with man and sail,120,2,122,0.07,0.06,211833
Tamil Nadu,13,KOLATHUR,12 Oormila,FEMALE,42,GENERAL,tavk,Camera,104,1,105,0.06,0.05,211833
Tamil Nadu,13,KOLATHUR,13 J. Suriya Muthu,MALE,51,GENERAL,IND,Iron,83,1,84,0.05,0.04,211833
Tamil Nadu,13,KOLATHUR,14 Nanda Kumar,MALE,34,GENERAL,IND,Helmet,79,0,79,0.04,0.04,211833
Tamil Nadu,13,KOLATHUR,15 A. L. Naresh Kumar,MALE,33,GENERAL,IND,Matchbox,74,0,74,0.04,0.03,211833
Tamil Nadu,13,KOLATHUR,16 M. Rajeshkumar,MALE,36,SC,IND,Door bell,72,1,73,0.04,0.03,211833
Tamil Nadu,13,KOLATHUR,17 R. Mahesh,MALE,35,GENERAL,IND,Road roller,64,0,64,0.03,0.03,211833
Tamil Nadu,13,KOLATHUR,18 M. Poornima,FEMALE,44,SC,IND,CCTV Camera,55,1,56,0.03,0.03,211833
Tamil Nadu,13,KOLATHUR,19 P. Milany,MALE,45,GENERAL,IND,Bucket,56,0,56,0.03,0.03,211833
Tamil Nadu,13,KOLATHUR,20 Arul Doss. A.,MALE,44,GENERAL,IND,Table,53,2,55,0.03,0.03,211833
Tamil Nadu,13,KOLATHUR,21 Vigirdhan,MALE,53,SC,IND,Flute,53,0,53,0.03,0.03,211833
Tamil Nadu,13,KOLATHUR,22 V. Naresh Babu,MALE,34,SC,IND,Bat,52,0,52,0.03,0.02,211833
Tamil Nadu,13,KOLATHUR,23 K. Panneer Selvam,MALE,40,SC,IND,Ring,50,0,50,0.03,0.02,211833
Tamil Nadu,13,KOLATHUR,24 E. Raamadasan,MALE,73,SC,MANAK,Gas cylinder,49,0,49,0.03,0.02,211833
Tamil Nadu,13,KOLATHUR,25 Kaja Maideen,MALE,34,GENERAL,IND,Hand cart,43,0,43,0.02,0.02,211833
Tamil Nadu,13,KOLATHUR,26 S. Sharan,MALE,27,GENERAL,IND,Computer,34,1,35,0.02,0.02,211833
Tamil Nadu,13,KOLATHUR,27 R. Ravikumar,MALE,34,SC,IND,Football player,33,1,34,0.02,0.02,211833
Tamil Nadu,13,KOLATHUR,28 M. Suresh,MALE,39,GENERAL,IND,Mike,33,0,33,0.02,0.02,211833
Tamil Nadu,13,KOLATHUR,29 V. A. Sudhakar,MALE,46,SC,IND,Ship,31,0,31,0.02,0.01,211833
Tamil Nadu,13,KOLATHUR,30 Raja. G.,MALE,71,SC,IND,Gas Stove,28,0,28,0.02,0.01,211833
